area,assignment,total_bookings,avg_weekly
W,Control,355,5.7
NW,Control,295,5.0
E,Control,217,3.7
WR,Control,209,3.7
KT,Control,183,3.4
TN,Control,155,2.8
RH,Control,139,2.8
CM,Control,136,2.6
BN,Control,114,2.8
EH,Control,105,2.1
NG,Control,105,2.1
CV,Control,100,2.2
SK,Control,81,2.0
DE,Control,80,2.0
NR,Control,78,2.0
G,Control,77,2.0
AL,Control,76,1.7
S,Control,76,1.8
WA,Control,73,2.1
IP,Control,66,1.8
PO,Control,66,1.7
CF,Control,63,1.8
HA,Control,62,1.8
EC,Control,57,1.8
M,Control,57,1.7
SG,Control,56,1.4
EX,Control,48,1.4
L,Control,48,1.6
MK,Control,46,1.9
SY,Control,46,1.8
CH,Control,45,1.7
ST,Control,44,1.6
ME,Control,42,1.6
NN,Control,42,1.5
EN,Control,40,1.8
RM,Control,40,1.5
PL,Control,37,1.5
PR,Control,37,1.5
SP,Control,34,1.5
BD,Control,31,1.6
CR,Control,31,1.4
DY,Control,29,2.1
NP,Control,28,1.2
SM,Control,28,1.9
WC,Control,26,1.6
BB,Control,22,1.4
CA,Control,22,1.5
DL,Control,21,2.1
FK,Control,21,1.5
IG,Control,20,1.2
TD,Control,18,1.3
HR,Control,17,1.2
PH,Control,17,1.3
UB,Control,16,1.3
ML,Control,14,1.3
DH,Control,13,1.3
HX,Control,13,1.4
IV,Control,12,1.5
DD,Control,10,1.4
BF,Control,6,3.0
TF,Control,6,1.0
PA,Control,4,1.0
IM,Control,3,1.0
LD,Control,3,1.0
SR,Control,2,2.0
EV,Control,1,1.0
HS,Control,1,1.0
SE,Treatment,311,5.2
N,Treatment,298,4.9
GU,Treatment,197,3.6
RG,Treatment,169,3.0
OX,Treatment,154,2.9
TW,Treatment,148,3.0
BS,Treatment,102,2.1
B,Treatment,99,2.4
HP,Treatment,98,2.3
CB,Treatment,93,2.0
SO,Treatment,93,2.1
LS,Treatment,91,1.9
YO,Treatment,87,2.2
NE,Treatment,86,2.0
GL,Treatment,85,1.8
SL,Treatment,84,2.0
PE,Treatment,83,2.0
BA,Treatment,72,1.7
BT,Treatment,69,2.2
LE,Treatment,69,1.8
BR,Treatment,59,1.6
CT,Treatment,58,1.8
SN,Treatment,57,1.6
CO,Treatment,54,1.7
TA,Treatment,54,1.6
TQ,Treatment,42,1.7
BH,Treatment,41,1.8
SS,Treatment,41,1.6
DN,Treatment,40,1.4
CW,Treatment,33,1.6
LA,Treatment,33,1.7
WD,Treatment,33,1.4
WV,Treatment,31,1.6
AB,Treatment,30,1.8
DT,Treatment,28,1.4
DA,Treatment,27,1.4
KY,Treatment,27,1.3
TR,Treatment,26,1.4
SA,Treatment,24,1.5
HU,Treatment,20,1.2
TS,Treatment,20,1.4
HG,Treatment,19,1.3
LL,Treatment,19,1.2
WF,Treatment,19,1.4
HD,Treatment,18,1.3
LU,Treatment,18,1.6
WS,Treatment,18,1.2
LN,Treatment,15,1.2
KA,Treatment,14,1.4
DG,Treatment,13,3.2
OL,Treatment,13,1.6
BL,Treatment,9,1.0
KW,Treatment,7,1.2
WN,Treatment,7,1.2
FY,Treatment,6,1.0
JE,Treatment,3,1.0
P,Treatment,2,2.0
NL,Treatment,1,1.0
R,Treatment,1,1.0
